subject,condition,studyResp,studyResp2,rt1,rt2,whichItem,list
1,3,2,8,1.25023528683232,2.75027754483745,179,1
1,2,1,8,3.9169599073939,3.91697620687773,118,1
1,3,1,1,2.50028675107751,2.08358039200539,107,1
1,1,9,9,0,0,3,1
1,1,4,9,3.91694994654972,0,86,1
1,1,4,4,3.91694451338844,3.91694873914821,6,1
1,2,8,8,3.91697409399785,3.91694692813326,115,1
1,4,1,8,3.91695175762288,3.91695085202809,124,1
1,4,8,1,3.91695024841465,3.91695326683111,161,1
1,3,8,1,2.16692353523104,1.66690542461583,64,1
1,2,1,1,3.9169693000149,3.91697379213292,181,1
1,4,8,1,3.91696926450823,3.91694934281986,163,1
1,2,8,8,3.9169508520863,3.91695628524758,184,1
1,1,9,9,0,0,29,1
1,4,1,8,3.91695115395123,3.9169405894354,100,1
1,3,8,1,3.33367079403251,1.91693817463238,177,1
1,1,9,4,0,3.91695477603935,85,2
1,1,9,4,0,3.91694843728328,112,2
1,2,8,8,3.91699884517584,3.91699160088319,189,2
1,2,8,1,3.91695356863784,3.9169689626433,19,2
1,3,8,1,2.0835951823392,2.08358884364134,110,2
1,3,2,2,2.25024917157134,1.75026547111338,102,2
1,3,1,8,1.66691327258013,1.66690029337769,166,2
1,2,8,1,3.91695326683111,3.91695236129453,125,2
1,1,9,9,0,0,37,2
1,4,8,8,3.91695266310126,3.91697077371646,28,2
1,4,8,8,3.91699914698256,3.91695481148781,185,2
1,4,8,1,3.91695236129453,3.9169508520863,183,2
1,4,8,8,3.91694904101314,3.91693666542415,137,2
1,2,8,1,3.91697892348748,3.91695115395123,111,2
1,3,1,1,2.16693742002826,1.58358522155322,129,2
1,1,4,9,3.916955379711,0,25,2
1,4,1,1,3.91696624609176,3.916952396743,192,3
1,4,1,8,3.91695507784607,3.91694421152351,167,3
1,2,8,1,3.91696202027379,3.91696202027379,26,3
1,2,1,8,3.91694572073175,3.91694541886682,52,3
1,1,9,9,0,0,147,3
1,2,1,1,3.91695869999239,3.91694843728328,31,3
1,3,1,1,1.08356288512005,1.33360801072558,69,3
1,4,8,1,3.91694692807505,3.9169541723677,133,3
1,3,1,1,1.25022894807626,1.41689108713763,66,3
1,4,1,8,3.91697167925304,3.91695024835644,126,3
1,3,1,1,1.33356394158909,1.08355835743714,95,3
1,1,9,4,0,3.91694873920642,61,3
1,1,9,4,0,3.91695356863784,146,3
1,1,4,9,3.91697379213292,0,121,3
1,2,1,1,3.91700216539903,3.91695145575795,47,3
1,3,1,1,2.58359035284957,1.50022789160721,30,3
1,2,8,1,3.91696098155808,3.91696684976341,187,4
1,2,1,1,3.91695387056097,3.91694843734149,99,4
1,1,9,9,0,0,34,4
1,1,4,9,3.91696745343506,0,4,4
1,3,2,8,1.41689591662725,1.91690467001172,155,4
