subject,condition,named,afc,whichSide,whichResp,whichItem,trial,condition.y,studyResp,studyResp2,rt1,rt2,list,pas1,pas2
1,word,0,1,0,0.0,1,1,2,1,8,3.9169599073939,3.91697620687773,1,3,3
1,binocular,1,1,1,1.0,2,2,4,8,1,3.91695024841465,3.91695326683111,1,3,3
1,not studied,0,1,1,1.0,4,4,1,9,9,0.0,0.0,1,fNS,fNS
1,word,1,1,1,1.0,6,6,2,1,1,3.9169693000149,3.91697379213292,1,3,3
1,not studied,0,1,0,0.0,7,7,1,4,9,3.91694994654972,0.0,1,0,fNS
1,binocular,1,1,1,1.0,8,8,4,1,8,3.91695175762288,3.91695085202809,1,3,3
1,word,0,1,1,1.0,9,9,2,8,8,3.91697409399785,3.91694692813326,1,3,3
1,binocular,1,1,1,1.0,10,10,4,1,8,3.91695115395123,3.9169405894354,1,3,3
1,binocular,1,1,0,0.0,11,11,4,8,1,3.91696926450823,3.91694934281986,1,3,3
1,not studied,0,0,0,1.0,13,13,1,4,4,3.91694451338844,3.91694873914821,1,0,0
1,word,0,1,0,0.0,15,15,2,8,8,3.9169508520863,3.91695628524758,1,3,3
1,not studied,1,0,1,0.0,16,16,1,9,9,0.0,0.0,1,fNS,fNS
1,word,1,1,1,1.0,17,17,2,8,8,3.91699884517584,3.91699160088319,2,3,3
1,word,0,1,1,1.0,18,18,2,8,1,3.91697892348748,3.91695115395123,2,3,3
1,binocular,0,1,0,0.0,20,20,4,8,1,3.91695236129453,3.9169508520863,2,3,3
1,binocular,0,1,0,0.0,21,21,4,8,8,3.91694904101314,3.91693666542415,2,3,3
1,not studied,1,1,0,0.0,22,22,1,9,9,0.0,0.0,2,fNS,fNS
1,not studied,0,0,1,0.0,23,23,1,9,4,0.0,3.91695477603935,2,fNS,0
1,binocular,0,1,1,1.0,25,25,4,8,8,3.91699914698256,3.91695481148781,2,3,3
1,word,1,1,1,1.0,27,27,2,8,1,3.91695326683111,3.91695236129453,2,3,3
1,binocular,1,1,0,0.0,28,28,4,8,8,3.91695266310126,3.91697077371646,2,3,3
1,not studied,1,0,1,0.0,29,29,1,4,9,3.916955379711,0.0,2,0,fNS
1,word,1,1,1,1.0,30,30,2,8,1,3.91695356863784,3.9169689626433,2,3,3
1,not studied,1,1,0,0.0,32,32,1,9,4,0.0,3.91694843728328,2,fNS,0
1,binocular,1,1,1,1.0,33,33,4,1,1,3.91696624609176,3.916952396743,3,3,3
1,word,1,1,1,1.0,34,34,2,1,1,3.91695869999239,3.91694843728328,3,3,3
1,word,0,1,0,0.0,36,36,2,1,8,3.91694572073175,3.91694541886682,3,3,3
1,binocular,1,1,0,0.0,38,38,4,1,8,3.91697167925304,3.91695024835644,3,3,3
1,not studied,1,1,0,0.0,39,39,1,9,4,0.0,3.91694873920642,3,fNS,0
1,not studied,0,0,1,0.0,40,40,1,9,9,0.0,0.0,3,fNS,fNS
1,binocular,1,1,0,0.0,43,43,4,8,1,3.91694692807505,3.9169541723677,3,3,3
1,word,0,1,1,1.0,44,44,2,8,1,3.91696202027379,3.91696202027379,3,3,3
1,not studied,1,1,0,0.0,45,45,1,4,9,3.91697379213292,0.0,3,0,fNS
1,not studied,1,0,1,0.0,46,46,1,9,4,0.0,3.91695356863784,3,fNS,0
1,binocular,0,1,0,0.0,47,47,4,1,8,3.9169550778460702,3.91694421152351,3,3,3
1,word,0,1,1,1.0,48,48,2,1,1,3.91700216539903,3.91695145575795,3,3,3
1,not studied,1,1,0,0.0,49,49,1,9,9,0.0,0.0,4,fNS,fNS
1,binocular,1,1,0,0.0,51,51,4,1,1,3.91698194196215,3.91697982902406,4,3,3
1,word,0,0,0,1.0,52,52,2,8,1,3.91696098155808,3.91696684976341,4,3,3
1,binocular,1,1,1,1.0,53,53,4,8,8,3.91694994654972,3.91695266310126,4,3,3
1,not studied,0,1,0,0.0,54,54,1,4,9,3.91695568157593,0.0,4,0,fNS
1,word,1,1,1,1.0,56,56,2,1,1,3.91695387056097,3.91694843734149,4,3,3
1,not studied,0,0,1,0.0,57,57,1,4,9,3.91696745343506,0.0,4,0,fNS
1,not studied,1,0,1,0.0,59,59,1,4,9,3.91695055022137,0.0,4,0,fNS
1,word,0,0,1,0.0,61,61,2,1,8,3.91695055022137,3.91695628524758,4,3,3
1,binocular,1,1,0,0.0,62,62,4,8,8,3.91694753180491,3.91694800229743,4,3,3
1,word,1,1,1,1.0,63,63,2,1,1,3.91695477603935,3.91695055027958,4,3,3
1,binocular,1,1,1,1.0,64,64,4,1,8,3.91694904101314,3.91694994654972,4,3,3
1,not studied,0,0,1,0.0,65,65,1,9,9,0.0,0.0,5,fNS,fNS
1,binocular,1,1,0,0.0,66,66,4,1,1,3.91695236129453,3.91694753180491,5,3,3
1,binocular,1,1,0,0.0,67,67,4,1,8,3.91696081293048,3.9169825456338,5,3,3
1,not studied,0,0,1,0.0,68,68,1,4,9,3.91697047185153,0.0,5,0,fNS
1,word,1,1,1,1.0,69,69,2,1,1,3.91695628524758,3.91695900185732,5,3,3
1,word,0,0,0,1.0,71,71,2,1,8,3.91695900185732,3.91694753180491,5,3,3
1,binocular,1,1,1,1.0,75,75,4,1,1,3.9169632276753,3.9169508520863,5,3,3
1,not studied,0,0,0,1.0,76,76,1,9,9,0.0,0.0,5,fNS,fNS
1,word,0,1,0,0.0,77,77,2,1,1,3.91694662626833,3.91695417230949,5,3,3
1,binocular,1,1,0,0.0,78,78,4,8,8,3.91697137738811,3.91695205948781,5,3,3
1,word,0,0,0,1.0,79,79,2,1,8,3.91695041704224,3.91694873920642,5,3,3
1,not studied,1,1,0,0.0,80,80,1,4,9,3.91694270231528,0.0,5,0,fNS
1,word,1,1,1,1.0,81,81,2,1,1,3.9169520594296,3.91695477603935,6,3,3
1,not studied,0,0,1,0.0,82,82,1,9,9,0.0,0.0,6,fNS,fNS
1,binocular,1,1,0,0.0,83,83,4,8,1,3.91694602259668,3.91696473688353,6,3,3
1,binocular,0,1,0,0.0,84,84,4,8,1,3.91695205948781,3.91694783366984,6,3,3
1,word,0,1,0,0.0,87,87,2,1,8,3.91696111473721,3.91694843734149,6,3,3
1,not studied,1,1,0,0.0,88,88,1,9,9,0.0,0.0,6,fNS,fNS
1,not studied,1,0,1,0.0,89,89,1,9,4,0.0,3.91697167925304,6,fNS,0
1,word,1,1,0,0.0,91,91,2,8,8,3.9169508520863,3.9169837529771,6,3,3
1,word,1,1,1,1.0,92,92,2,1,8,3.91696564242011,3.91695296496619,6,3,3
1,binocular,1,1,1,1.0,93,93,4,8,1,3.91695779445581,3.91696684976341,6,3,3
1,not studied,1,0,1,0.0,95,95,1,4,4,3.91694934287807,3.91695930366404,6,0,0
1,binocular,1,1,1,1.0,96,96,4,1,1,3.91694722993998,3.91694783366984,6,3,3
1,binocular,1,1,0,0.0,97,97,4,1,8,3.91694964468479,3.91695326677291,7,3,3
1,word,1,0,1,0.0,98,98,2,1,8,3.91695571696619,3.91695537976921,7,3,3
1,binocular,1,1,0,0.0,99,99,4,8,8,3.9169656423619,3.9169565870543,7,3,3
1,not studied,0,0,1,0.0,100,100,1,4,4,3.91696564242011,3.91694904101314,7,0,0
1,not studied,0,1,0,0.0,101,101,1,0,9,3.91697107558139,0.0,7,NR,fNS
1,word,0,1,1,1.0,104,104,2,8,8,3.91696202027379,3.91695387050277,7,3,3
1,binocular,1,1,1,1.0,106,106,4,1,8,3.9169550778460702,3.91695447417442,7,3,3
1,not studied,1,0,1,0.0,108,108,1,9,4,0.0,3.91695809632074,7,fNS,0
1,binocular,1,1,1,1.0,109,109,4,8,8,3.91697999765165,3.91695115389302,7,3,3
1,not studied,1,1,0,0.0,110,110,1,4,4,3.91695024841465,3.91697771608597,7,0,0
1,word,1,1,0,0.0,111,111,2,1,1,3.91695658711251,3.9169520594296,7,3,3
1,word,1,1,0,0.0,112,112,2,1,1,3.9169508520863,3.91695296502439,7,3,3
1,not studied,0,0,1,0.0,113,113,1,9,1,0.0,3.9169644350186,8,fNS,3
1,word,1,1,1,1.0,114,114,2,8,1,3.91695930372225,3.91695447417442,8,3,3
1,binocular,1,1,0,0.0,116,116,4,1,1,3.91696020920062,3.91696775529999,8,3,3
1,not studied,1,0,1,0.0,117,117,1,9,9,0.0,0.0,8,fNS,fNS
1,word,1,1,0,0.0,118,118,2,1,1,3.91696111473721,3.91696232213872,8,3,3
1,binocular,1,1,1,1.0,120,120,4,1,1,3.91697620687773,3.91695839812746,8,3,3
1,binocular,1,1,1,1.0,121,121,4,8,8,3.91695055022137,3.91696413315367,8,3,3
1,not studied,0,1,0,0.0,123,123,1,9,9,0.0,0.0,8,fNS,fNS
1,not studied,0,0,0,1.0,124,124,1,4,9,3.9169644350186,0.0,8,0,fNS
1,word,1,1,1,1.0,125,125,2,1,1,3.91697318846127,3.91695236129453,8,3,3
1,word,0,1,0,0.0,126,126,2,1,1,3.91695869999239,3.91697107558139,8,3,3
1,binocular,0,1,1,1.0,127,127,4,8,8,3.91694843728328,3.91697318846127,8,3,3
2,not studied,1,0,1,0.0,8,2,1,9,4,0.0,3.91719158441265,1,fNS,0
2,not studied,0,0,0,1.0,2,3,1,9,9,0.0,0.0,1,fNS,fNS
2,word,0,1,0,0.0,7,4,2,8,8,3.9172003380736,3.9172078843294,1,3,3
2,binocular,1,1,1,1.0,5,6,4,1,8,3.91720486582926,3.91719882882171,1,3,3
2,binocular,1,1,1,1.0,3,7,4,8,8,3.91720154547511,3.9171985269677,1,3,3
2,word,0,1,1,1.0,4,8,2,1,1,3.91719641401869,3.917203054727,1,3,3
2,binocular,0,1,0,0.0,12,9,4,8,8,3.91719007516076,3.91720063992398,1,3,3
2,binocular,1,1,0,0.0,14,10,4,8,8,3.91723474901301,3.91720969543167,1,3,3
